"","X","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"122","BTF3",4.88471187697276e-16,-0.768337092224622,0.044,0.572,1.49477068147243e-11
"123","TAGLN2",5.24474502695213e-16,-0.783876382352486,0.191,0.715,1.60494442569762e-11
"124","FCER1G",7.51556971151671e-16,-0.844090545059771,0.132,0.654,2.29983948742123e-11
"125","FTL",4.48248691670431e-15,-0.875915469699627,0.132,0.635,1.37168582138069e-10
"126","NME2",4.96350124521457e-15,-0.71473769317398,0.015,0.52,1.51888101604811e-10
"127","LINC00624",6.17316081085667e-15,0.377869378826642,0.412,0.102,1.88904893973025e-10
"128","ACTG1",1.76624871475629e-14,-0.974427056286755,0.382,0.772,5.40489769202571e-10
"129","PABPC1",1.99521719782485e-14,-0.73156685319657,0.794,0.968,6.10556414706382e-10
"130","SLC25A6",2.26121402851336e-14,-0.778784688400155,0.132,0.614,6.91954104865374e-10
"131","S100A4",2.31854859743667e-14,-1.24964834819175,0.191,0.649,7.09499056301594e-10
"132","UVRAG",3.06124526846746e-14,0.692269633398932,0.985,0.879,9.36771664603727e-10
"133","FTH1",3.69176143788427e-14,-1.01742531528033,0.441,0.817,1.12971591760697e-09
"134","GRN",3.92379540873953e-14,-0.723365292119037,0.309,0.733,1.20072063302838e-09
"135","TOMM7",5.14187564952207e-14,-0.697113356358074,0.074,0.565,1.57346536751025e-09
"136","HLA-DRA",8.62037400588381e-14,-1.47675197396813,0.794,0.964,2.6379206495405e-09
"137","GAPDH",1.02440413236811e-13,-0.9002977719533,0.088,0.57,3.13477908545966e-09
"138","JAK2",1.2230514398899e-13,0.830328005584829,0.882,0.642,3.74265971120709e-09
"139","GSTP1",1.25359096475206e-13,-0.786791682233401,0.044,0.523,3.83611371123778e-09
"140","PFDN5",1.29969418186621e-13,-0.709937149982372,0.162,0.622,3.9771941659288e-09
"141","ELMO1",2.16431934573396e-13,0.660760179828898,0.985,0.84,6.6230336298805e-09
"142","CORO1A",2.82472492662892e-13,-0.718309036221361,0.235,0.675,8.64394074797716e-09
"143","EEF2",2.88045927072813e-13,-0.659461273751071,0.103,0.566,8.81449341435516e-09
"144","RNASEK",3.08339258468497e-13,-0.681541805995063,0.162,0.615,9.43548964839448e-09
"145","SH3BGRL3",3.17202710927193e-13,-0.766157375970366,0.147,0.602,9.70672015708304e-09
"146","COX7C",5.09987094104936e-13,-0.685008829973772,0.074,0.535,1.56061150667052e-08
