gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Poll	272.2125559727199	0.051844161459877185	0.04713313949894194	1.0999513720286127	0.27135330987829553	0.5383401127087296
Polm	196.76277374795475	0.06496823522891629	0.035794103733613004	1.8150541137284257	0.06951559387232666	0.2548749042885861
Poln	23.288174715489436	0.12403246770175488	0.07178954765421429	1.7277232097794637	0.08403786034322709	0.2828322115879088
Polq	160.38742823694852	-0.0515135258552378	0.04598225821112645	-1.120291344081334	0.2625896294712325	0.5292875112115748
Polr1a	1842.0074307018872	0.029143507791110416	0.021552838098199408	1.352188869898538	0.1763149033063754	0.42777236986031464
Polr1b	778.0779355216825	-0.0215490604603671	0.021878365073345722	-0.9849483902533552	0.32464942231696425	0.5924110593272351
Polr1c	757.7093432915013	-0.10867090611352949	0.029438858282572044	-3.6914103485413774	2.230140046980552e-4	0.006131477212500192
Polr1d	1752.2666911682024	-0.06237870841701163	0.022820619528164842	-2.733436239100557	0.006267725732962484	0.05775411811941642
Polr1e	226.4061065712489	-0.016056635196489432	0.025955120146698065	-0.6186307405142992	0.5361596459361881	0.7630065530280904
Polr1f	1050.0266652330756	-0.07982901381156185	0.028714400891587333	-2.780103757447711	0.005434153260703225	0.05270765579145333
Polr1g	313.262778019866	-0.03642878633169712	0.029028139278884812	-1.2549473454606017	0.20949787512400092	0.46826280341050297
Polr1h	371.0950271363371	-0.07758734000777505	0.019337691587603456	-4.0122338106536395	6.0146883471254795e-5	0.002461839074410852
Polr1has	233.05019640476846	-0.04362602900864108	0.029149599426648177	-1.4966253350555048	0.13449077407990406	0.3686012090106873
Polr2a	4242.633501268808	0.047291799843606756	0.025788796524154237	1.8338118182177454	0.06668193281740545	0.24871965425620113
Polr2b	3208.7531355345864	-0.03170309173874714	0.01798457187722072	-1.7627937965486025	0.07793527407175647	0.27101376998886506
Polr2c	1082.8863993683096	-0.008161487673608046	0.02696839954914207	-0.3026315172591576	0.7621706928111083	0.8972895131899806
Polr2d	303.17970197983163	-0.05974132103239428	0.024896069648794004	-2.3996286110682625	0.016411713425670698	0.1050455790252732
Polr2e	829.314330323016	-0.03310498368817302	0.04673162771999883	-0.7084063899192137	0.4786929254365144	0.7225021453788107
Polr2f	522.6423198095758	0.05197470698984472	0.05033687605922693	1.0325373972093679	0.3018204379110113	0.5704253045847548
Polr2g	693.5989115407541	-0.10320221608071677	0.020667237640495172	-4.993517657072052	5.928936246920377e-7	9.210929133460654e-5
Polr2h	355.0860215867412	-0.1272291613357379	0.02217782603400824	-5.7367733492291055	9.649725285976281e-9	3.335282033367199e-6
Polr2i	426.93817485121014	-0.03861720597743478	0.04681982739477136	-0.8248045353056425	0.4094825714200898	0.6676842719893556
Polr2j	590.6324285019929	-0.07071763063835716	0.03531094046133674	-2.0027116161289595	0.045208251245390976	0.1979906819928376
Polr2k	543.201755336881	-0.09435321703283014	0.033899222979225	-2.7833445353792956	0.005380163972250515	0.05244094471609444
Polr2l	852.4648658006087	-0.009508467784923372	0.04184370677123585	-0.22723770236005172	0.8202389121725389	0.9273372968940781
Polr2m	4055.2605651700005	-0.025865824372371886	0.01348010693110014	-1.9188144800763032	0.05500781665232127	0.223177791616228
Polr3a	1074.0879477611998	-0.02234072963677058	0.015142885262686872	-1.475328462787716	0.14012425778394919	0.3767850967208562
Polr3b	1249.7850673152655	-0.001381550258693096	0.013256550105137335	-0.10421642491719632	0.9169975997496818	0.968719281869037
Polr3c	781.5860662474549	0.0344863180799225	0.017226150468784843	2.0019747384892788	0.04528744848692771	0.198217927799568
Polr3d	402.120105857025	-0.001324298907460033	0.021342198525709424	-0.06205072574246484	0.9505224364947173	0.9816650437312444
Polr3e	852.625421886532	-0.030865636868338507	0.020227637327805286	-1.5259140930863946	0.12703126042032445	0.3576138012961105
Polr3f	1122.3043392622708	-0.06766656408432818	0.02056824287514267	-3.289856333138949	0.0010023854809591498	0.01728182410758946
Polr3g	450.9928695982643	-0.07700413697305186	0.026045399706827715	-2.956535044185384	0.003111168747451	0.036281982286335016
Polr3gl	512.9489934898301	-0.0265802650131324	0.021083688780250184	-1.2607027778759023	0.20741595275115798	0.4654451412360651
Polr3h	387.8613383293738	-0.09145541067491855	0.025847659981141545	-3.5382472046461624	4.0279276570066787e-4	0.009213038312113491
Polr3k	984.564763235448	-0.03732198069954977	0.023746559633969464	-1.571679488516756	0.1160249014391416	0.3387559974305857
Polrmt	706.9841618001794	0.04549104689311532	0.049082680549381336	0.9268248266788826	0.35401749258889437	0.6188272377878442
Pom121	905.9470439576622	0.03042101064708734	0.034782630926754286	0.874603497106021	0.3817896843166797	0.6442016998481918
Pomgnt1	1441.6642076095668	0.003543826162968537	0.025979910849968705	0.13640640198627957	0.8915000129317169	0.9582328669176361
Pomgnt2	200.91583307719668	-0.0712886070582665	0.04741139550951468	-1.5036175647679484	0.13267986585038738	0.3664264348446409
Pomk	488.99791834484097	0.0025999854422209994	0.015441872418494563	0.16837242089288507	0.8662903032857244	0.9487713184813725
Pomp	2182.5823847027664	-0.061344105949490343	0.0179295024246985	-3.421405931766782	6.229827181841442e-4	0.012438869041939105
Pomt1	648.6632856303709	0.10019338221421487	0.02681601683714511	3.736326048073949	1.8672851864607202e-4	0.005414132481382447
